name,score,state,timestamp
喜欢你,0.714285714286,1,2017-05-23
喜欢你,0.526315789474,0,2017-05-24
喜欢你,1.05263157895,1,2017-05-24
喜欢你,0.394736842105,0,2017-05-25
喜欢你,1.05263157895,1,2017-05-25
喜欢你,0.0,0,2017-05-26
喜欢你,1.25,1,2017-05-26
记忆大师,0.0,0,2017-03-31
记忆大师,1.0,1,2017-03-31
记忆大师,0.0,0,2017-04-01
记忆大师,1.11111111111,1,2017-04-01
记忆大师,0.0,0,2017-04-02
记忆大师,1.0,1,2017-04-02
记忆大师,0.0,0,2017-04-03
记忆大师,1.0,1,2017-04-03
记忆大师,0.0,0,2017-04-04
记忆大师,1.0,1,2017-04-04
记忆大师,0.0,0,2017-04-06
记忆大师,1.0,1,2017-04-06
记忆大师,0.714285714286,0,2017-04-07
记忆大师,0.357142857143,1,2017-04-07
记忆大师,0.0,0,2017-04-08
记忆大师,1.66666666667,1,2017-04-08
记忆大师,0.697674418605,0,2017-04-20
记忆大师,0.581395348837,1,2017-04-20
记忆大师,0.15873015873,0,2017-04-21
记忆大师,1.26984126984,1,2017-04-21
记忆大师,0.882352941176,0,2017-04-23
记忆大师,2.05882352941,1,2017-04-23
记忆大师,0.614035087719,0,2017-04-24
记忆大师,0.438596491228,1,2017-04-24
记忆大师,0.459770114943,0,2017-04-25
记忆大师,0.804597701149,1,2017-04-25
记忆大师,0.689655172414,0,2017-04-26
记忆大师,0.574712643678,1,2017-04-26
记忆大师,0.508474576271,0,2017-04-27
记忆大师,0.677966101695,1,2017-04-27
记忆大师,0.392940717629,0,2017-04-28
记忆大师,0.766380655226,1,2017-04-28
记忆大师,0.394659501218,0,2017-04-29
记忆大师,0.754051557645,1,2017-04-29
记忆大师,0.4425795053,0,2017-04-30
记忆大师,0.691696113074,1,2017-04-30
记忆大师,0.404162008771,0,2017-05-01
记忆大师,0.759308624989,1,2017-05-01
记忆大师,0.373212417161,0,2017-05-02
记忆大师,0.790024415766,1,2017-05-02
记忆大师,0.442775763853,0,2017-05-03
记忆大师,0.771620921802,1,2017-05-03
记忆大师,0.488491048593,0,2017-05-04
记忆大师,0.690537084399,1,2017-05-04
记忆大师,0.346795434592,0,2017-05-05
记忆大师,0.842844600527,1,2017-05-05
记忆大师,0.305843801202,0,2017-05-06
记忆大师,0.854724194429,1,2017-05-06
记忆大师,0.293015332198,0,2017-05-07
记忆大师,0.82793867121,1,2017-05-07
记忆大师,0.539877300613,0,2017-05-08
记忆大师,0.656441717791,1,2017-05-08
记忆大师,0.284495021337,0,2017-05-09
记忆大师,0.896159317212,1,2017-05-09
记忆大师,0.350877192982,0,2017-05-10
记忆大师,0.856553147575,1,2017-05-10
记忆大师,0.415879017013,0,2017-05-11
记忆大师,0.775047258979,1,2017-05-11
记忆大师,0.473372781065,0,2017-05-12
记忆大师,0.680473372781,1,2017-05-12
记忆大师,0.537772087068,0,2017-05-13
记忆大师,0.909090909091,1,2017-05-13
记忆大师,0.343434343434,0,2017-05-14
记忆大师,0.828282828283,1,2017-05-14
记忆大师,0.428571428571,0,2017-05-15
记忆大师,0.761904761905,1,2017-05-15
记忆大师,0.534759358289,0,2017-05-16
记忆大师,0.668449197861,1,2017-05-16
记忆大师,0.561224489796,0,2017-05-17
记忆大师,0.765306122449,1,2017-05-17
记忆大师,0.37037037037,0,2017-05-18
记忆大师,0.740740740741,1,2017-05-18
记忆大师,0.319634703196,0,2017-05-19
