count|movieName|name|senti|week
106|西游伏妖篇|吴亦凡|0.954954954955|0
1|拆弹专家|王紫逸|1.0|2
1|拆弹专家|石修|1.0|5
105|建军大业|张涵予|0.945945945946|1
1|京城81号2|梅婷|1.0|4
1|春娇救志明|蒋梦婕|0.5|5
1|建军大业|朱亚文|1.0|0
5|拆弹专家|邱礼涛|1.0|2
5|绣春刀2|路阳|1.0|3
1|建军大业|黄志忠|1.0|0
102|悟空传|余文乐|0.910714285714|2
23|拆弹专家|黄日华|1.0|2
6|西游伏妖篇|王丽坤|1.0|0
2|功夫瑜伽|曾志伟|1.0|1
271|悟空传|倪妮|0.915540540541|1
2|建军大业|余皑磊|1.0|1
661|战狼2|张翰|1.0|2
42|三生三世十里桃花|顾璇|0.875|1
3|悟空传|彭于晏|1.0|0
390|建军大业|刘昊然|1.0|1
444|战狼2|吴刚|1.0|2
58|京城81号2|钟欣潼|0.983050847458|0
321|嫌疑人x的献身|苏有朋|0.990740740741|1
8|嫌疑人x的献身|侯明昊|1.0|1
180|春娇救志明|余文乐|0.967741935484|1
1|建军大业|刘烨|1.0|0
1|功夫瑜伽|母其弥雅|1.0|4
1|喜欢你|奚梦瑶|1.0|4
213|建军大业|马天宇|0.981566820276|1
1|功夫瑜伽|索努·苏德|1.0|0
14|功夫瑜伽|张国立|0.933333333333|2
1683|三生三世十里桃花|杨洋|0.921686746988|1
2|三生三世十里桃花|赵小丁|1.0|0
30|大闹天竺|白客|0.882352941176|2
3|西游伏妖篇|包贝尔|1.0|0
385|建军大业|黄志忠|0.997409326425|1
2|喜欢你|林志玲|1.0|3
21|建军大业|董子健|0.954545454545|2
9|大闹天竺|柳岩|0.818181818182|2
16|京城81号2|高捷|0.888888888889|2
1|绣春刀2|刘峰超|1.0|1
7|悟空传|俞飞鸿|0.875|4
1|喜欢你|杨祐宁|1.0|4
2|绣春刀2|张震|1.0|0
600|记忆大师|段奕宏|0.993377483444|1
15|京城81号2|张智霖|0.882352941176|2
35|喜欢你|奚梦瑶|1.0|1
6|喜欢你|杨祐宁|1.0|5
65|绣春刀2|辛芷蕾|0.970149253731|1
797|记忆大师|徐静蕾|0.99625|1
1|京城81号2|耿乐|0.5|2
1|逆时营救|金士杰|1.0|0
68|大闹天竺|王宝强|0.894736842105|2
133|记忆大师|杨子姗|1.0|1
299|喜欢你|金城武|0.964516129032|5
1|绣春刀2|姜晓冲|1.0|3
10|建军大业|周冬雨|1.0|2
29|建军大业|白宇|1.0|2
3|西游伏妖篇|张美娥|1.0|0
29|建军大业|吴樾|1.0|1
765|悟空传|郑爽|0.943279901356|1
438|喜欢你|周冬雨|1.0|0
2|建军大业|小爱|1.0|1
9|西游伏妖篇|巴特尔|0.9|1
2|建军大业|郭晓东|1.0|2
28|战狼2|卢靖姗|1.0|2
2563|记忆大师|许玮甯|0.993025958931|1
406|春娇救志明|杨千嬅|0.987834549878|1
120|西游伏妖篇|徐克|0.923076923077|5
2|绣春刀2|李媛|1.0|2
20|记忆大师|陈正道|1.0|2
3|喜欢你|许宏宇|1.0|2
2|逆时营救|刘畅|1.0|5
4|逆时营救|霍建华|1.0|0
1|西游伏妖篇|大鹏|1.0|5
37|逆时营救|杨幂|0.973684210526|4
104|西游伏妖篇|林更新|0.954128440367|5
2|拆弹专家|廖启智|1.0|2
2|功夫瑜伽|唐季礼|1.0|3
19|建军大业|陈晓|1.0|1
3|建军大业|宋佳|1.0|2
49|建军大业|余少群|0.960784313725|2
12|逆时营救|张艺瀚|1.0|3
5|建军大业|李现|1.0|2
91|拆弹专家|姜武|0.978494623656|5
379|悟空传|欧豪|0.966836734694|2
1|建军大业|马伊琍|1.0|0
3|西游伏妖篇|汪铎|1.0|0
1|嫌疑人x的献身|焉栩嘉|1.0|3
59|功夫瑜伽|李治廷|1.0|0
1|拆弹专家|吴卓羲|1.0|4
171|功夫瑜伽|成龙|0.966101694915|3
9|绣春刀2|金士杰|1.0|3
1021|绣春刀2|杨幂|0.987427466151|1
1|拆弹专家|张继聪|1.0|5
5|京城81号2|梅婷|0.833333333333|3
439|建军大业|朱亚文|0.993212669683|1
1|拆弹专家|邱礼涛|1.0|3
7|功夫瑜伽|张国立|0.875|5
10|悟空传|余文乐|1.0|3
10|拆弹专家|黄日华|1.0|5
77|西游伏妖篇|王丽坤|0.950617283951|1
144|功夫瑜伽|曾志伟|0.993103448276|0
2|建军大业|佟瑞欣|1.0|2
3|悟空传|倪妮|1.0|0
6|嫌疑人x的献身|成泰燊|1.0|5
554|悟空传|彭于晏|0.869701726845|1
8|建军大业|保剑锋|1.0|2
7|战狼2|淳于珊珊|1.0|2
73|京城81号2|钟欣潼|0.744897959184|1
147|嫌疑人x的献身|苏有朋|0.993243243243|2
1|嫌疑人x的献身|侯明昊|1.0|2
70|春娇救志明|余文乐|1.0|0
2|大闹天竺|白客|1.0|5
2|西游伏妖篇|姚晨|1.0|4
640|记忆大师|许玮甯|0.983102918587|2
4|京城81号2|陈冲|1.0|0
99|建军大业|马天宇|0.970588235294|2
36|拆弹专家|蔡瀚亿|0.972972972973|1
157|建军大业|李易峰|0.98125|1
50|建军大业|王景春|0.943396226415|2
3|大闹天竺|王宝强|0.75|5
24|西游伏妖篇|包贝尔|0.888888888889|1
11|建军大业|张天爱|1.0|2
1|春娇救志明|曾国祥|1.0|2
23|建军大业|关晓彤|1.0|1
2|拆弹专家|廖启智|1.0|5
7|京城81号2|高捷|1.0|3
29|绣春刀2|雷佳音|1.0|3
1|春娇救志明|邵音音|1.0|5
1115|绣春刀2|张震|0.992876224399|1
4|春娇救志明|秦沛|1.0|5
12|春娇救志明|蒋梦婕|1.0|1
4|京城81号2|张智霖|0.666666666667|3
11|喜欢你|奚梦瑶|1.0|0
48|绣春刀2|辛芷蕾|1.0|2
1|嫌疑人x的献身|张鲁一|1.0|0
40|逆时营救|金士杰|0.952380952381|1
30|记忆大师|杨子姗|0.967741935484|2
2|绣春刀2|姜晓冲|0.666666666667|2
1|建军大业|陈赫|1.0|0
78|建军大业|白宇|1.0|1
1|拆弹专家|张继聪|1.0|3
165|悟空传|郑爽|0.982142857143|0
318|喜欢你|金城武|0.996865203762|0
5|西游伏妖篇|巴特尔|1.0|0
1|喜欢你|杨祐宁|1.0|0
1|战狼2|石兆琪|1.0|0
4|逆时营救|张艺瀚|1.0|4
69|春娇救志明|杨千嬅|1.0|0
1|记忆大师|梁杰理|1.0|1
1|春娇救志明|李程彬|1.0|1
1|嫌疑人x的献身|焉栩嘉|1.0|4
137|记忆大师|陈正道|1.0|1
4|喜欢你|许宏宇|1.0|5
76|西游伏妖篇|姚晨|0.904761904762|1
1|京城81号2|连凯|0.5|3
7|建军大业|马伊琍|1.0|1
22|西游伏妖篇|林更新|1.0|4
6|功夫瑜伽|唐季礼|1.0|0
1|拆弹专家|姜皓文|1.0|0
7|悟空传|余文乐|0.777777777778|4
4|嫌疑人x的献身|叶祖新|1.0|5
20|拆弹专家|姜武|1.0|4
68|悟空传|欧豪|0.918918918919|3
46|功夫瑜伽|李治廷|0.978723404255|3
1|建军大业|刘昊然|1.0|0
2|拆弹专家|吴卓羲|0.666666666667|3
341|功夫瑜伽|成龙|0.960563380282|2
1|建军大业|关晓彤|1.0|0
2|绣春刀2|杨幂|1.0|0
1|嫌疑人x的献身|王凯|1.0|0
84|功夫瑜伽|张艺兴|0.954545454545|5
14|京城81号2|梅婷|0.777777777778|2
445|嫌疑人x的献身|林心如|0.986696230599|1
212|建军大业|朱亚文|0.981481481481|2
3|功夫瑜伽|张国立|1.0|4
1|拆弹专家|黄日华|1.0|4
93|功夫瑜伽|曾志伟|0.989361702128|3
91|建军大业|李易峰|1.0|2
1|春娇救志明|曾国祥|1.0|5
440|悟空传|彭于晏|0.916666666667|2
3|战狼2|吴刚|1.0|0
10|战狼2|于谦|1.0|1
23|嫌疑人x的献身|苏有朋|1.0|3
1|嫌疑人x的献身|侯明昊|1.0|3
3|春娇救志明|余文乐|1.0|3
20|喜欢你|林志玲|0.909090909091|5
97|拆弹专家|刘德华|0.950980392157|3
8|建军大业|保剑锋|1.0|1
1|京城81号2|陈冲|1.0|2
3|建军大业|李易峰|1.0|0
34|喜欢你|孙艺洲|1.0|0
47|建军大业|张涵予|0.959183673469|2
2|功夫瑜伽|迪莎·帕塔尼|1.0|5
8|西游伏妖篇|包贝尔|0.888888888889|2
1|建军大业|董子健|1.0|0
255|京城81号2|高捷|0.965909090909|0
266|绣春刀2|雷佳音|0.977941176471|2
1|悟空传|郭子健|1.0|0
1|拆弹专家|廖启智|1.0|0
9|春娇救志明|蒋梦婕|1.0|0
1|京城81号2|张智霖|1.0|4
13|拆弹专家|宋佳|1.0|5
6|绣春刀2|辛芷蕾|1.0|3
1599|嫌疑人x的献身|张鲁一|0.993784959602|1
1|逆时营救|张艺瀚|1.0|0
54|建军大业|鹿晗|0.981818181818|2
7|逆时营救|金士杰|0.7|2
10|记忆大师|杨子姗|1.0|3
93|建军大业|陈赫|1.0|1
1|建军大业|白宇|1.0|0
3|拆弹专家|张继聪|1.0|2
87|悟空传|郑爽|0.977528089888|3
1060|喜欢你|金城武|0.990654205607|1
29|逆时营救|张艺瀚|0.90625|5
8|春娇救志明|杨千嬅|1.0|3
30|拆弹专家|姜武|0.967741935484|3
5|京城81号2|钱人豪|1.0|1
1|建军大业|白客|1.0|0
5|嫌疑人x的献身|焉栩嘉|1.0|5
9|记忆大师|陈正道|1.0|0
100|喜欢你|林志玲|0.980392156863|1
9|西游伏妖篇|姚晨|1.0|0
33|记忆大师|黄渤|1.0|4
12|战狼2|丁海峰|1.0|2
101|西游伏妖篇|林更新|0.971153846154|3
2|功夫瑜伽|唐季礼|1.0|1
78|拆弹专家|姜皓文|0.975|1
4|嫌疑人x的献身|邓恩熙|1.0|1
2|建军大业|余少群|1.0|0
158|西游伏妖篇|林允|0.918604651163|1
16|悟空传|欧豪|1.0|0
1|京城81号2|林雪|1.0|3
2|西游伏妖篇|汪铎|1.0|2
74|功夫瑜伽|李治廷|0.973684210526|2
18|拆弹专家|吴卓羲|1.0|2
241|功夫瑜伽|成龙|0.892592592593|5
4|嫌疑人x的献身|苏有朋|0.8|4
287|西游伏妖篇|吴亦凡|0.925806451613|5
258|建军大业|欧豪|0.977272727273|2
110|绣春刀2|杨幂|0.932203389831|3
1149|嫌疑人x的献身|王凯|0.993944636678|1
22|功夫瑜伽|张艺兴|1.0|4
