CNT,MovieName,Time
0 0 0 19 0,金刚狼3：殊死一战,2017-03-10
0 0 0 19 19,金刚狼3：殊死一战,2017-03-06
0 0 19 19 0,金刚狼3：殊死一战,2017-02-20
0 0 19 0 0,金刚狼3：殊死一战,2017-02-27
0 0 0 0 19,金刚狼3：殊死一战,2017-02-11
456 95 38 57 19,大闹天竺,2017-01-28
19 19 0 0 0,大闹天竺,2017-01-29
19 0 0 0 0,大闹天竺,2017-01-27
38 0 0 0 0,大闹天竺,2017-01-30
152 76 95 0 19,悟空传,2017-07-13
0 38 0 0 0,悟空传,2017-07-12
57 76 19 38 0,悟空传,2017-07-09
0 76 19 0 19,悟空传,2017-07-11
0 19 19 0 0,悟空传,2017-07-10
0 0 0 0 19,悟空传,2017-07-21
0 0 19 0 0,悟空传,2017-07-15
0 0 0 113 114,银河护卫队2,2017-04-25
0 0 76 75 0,银河护卫队2,2017-05-02
0 0 38 38 0,银河护卫队2,2017-04-26
0 0 0 38 38,银河护卫队2,2017-04-24
0 37 149 74 186,银河护卫队2,2017-05-05
38 75 0 0 0,银河护卫队2,2017-05-01
0 0 0 0 38,银河护卫队2,2017-05-04
0 0 37 0 38,银河护卫队2,2017-05-03
0 0 0 0 76,银河护卫队2,2017-04-29
37 0 0 0 37,银河护卫队2,2017-05-06
0 0 0 37 0,银河护卫队2,2017-05-07
0 37 0 0 0,银河护卫队2,2017-05-15
0 0 0 0 37,银河护卫队2,2017-04-28
0 0 0 0 37,银河护卫队2,2017-04-30
133 285 57 19 0,新木乃伊,2017-06-09
0 19 0 0 0,新木乃伊,2017-06-06
19 38 19 0 0,新木乃伊,2017-06-07
38 76 0 0 0,新木乃伊,2017-06-08
0 19 0 0 0,新木乃伊,2017-06-10
0 19 0 0 0,新木乃伊,2017-06-15
0 114 0 76 38,神奇女侠,2017-06-01
0 19 19 0 0,神奇女侠,2017-05-30
0 76 2 38 114,神奇女侠,2017-05-31
38 74 19 0 38,神奇女侠,2017-06-02
19 0 19 0 0,神奇女侠,2017-06-04
0 0 38 0 0,神奇女侠,2017-06-03
0 0 19 0 0,一条狗的使命,2017-02-01
0 0 0 19 0,一条狗的使命,2017-02-08
0 0 19 0 0,一条狗的使命,2017-02-18
19 0 0 38 0,一条狗的使命,2017-01-28
0 0 0 19 19,一条狗的使命,2017-03-04
0 19 38 57 0,一条狗的使命,2017-03-03
0 19 0 0 19,一条狗的使命,2017-01-29
0 0 0 19 57,一条狗的使命,2017-01-30
19 19 0 0 19,一条狗的使命,2017-03-06
0 0 19 0 0,一条狗的使命,2017-02-28
0 19 0 19 0,一条狗的使命,2017-02-25
0 0 0 19 19,一条狗的使命,2017-02-27
19 0 0 19 0,一条狗的使命,2017-03-07
0 0 0 19 0,一条狗的使命,2017-03-10
0 0 19 0 0,一条狗的使命,2017-02-20
0 19 0 0 0,一条狗的使命,2017-03-11
0 19 0 0 0,一条狗的使命,2017-03-13
0 0 0 19 0,一条狗的使命,2017-03-02
0 19 0 0 0,一条狗的使命,2017-03-05
0 19 0 0 0,一条狗的使命,2017-03-01
37 38 148 413 75,美女与野兽,2017-03-17
0 0 113 74 0,美女与野兽,2017-03-18
0 38 76 151 0,美女与野兽,2017-03-16
0 38 38 0 0,美女与野兽,2017-03-14
0 38 0 38 0,美女与野兽,2017-03-15
0 0 0 0 37,美女与野兽,2017-03-06
0 0 0 37 0,美女与野兽,2017-02-28
0 0 37 0 0,美女与野兽,2017-03-26
0 0 0 37 37,美女与野兽,2017-03-19
38 19 0 0 0,熊出没·奇幻空间,2017-01-28
19 0 19 0 0,熊出没·奇幻空间,2017-01-29
19 0 0 0 0,熊出没·奇幻空间,2017-01-21
0 0 19 0 0,熊出没·奇幻空间,2017-01-25
19 0 0 0 0,熊出没·奇幻空间,2017-01-06
0 0 38 19 0,熊出没·奇幻空间,2017-02-02
0 0 0 19 0,熊出没·奇幻空间,2017-01-31
0 0 19 0 0,熊出没·奇幻空间,2017-01-14
0 0 38 0 0,熊出没·奇幻空间,2017-01-15
0 0 38 19 0,熊出没·奇幻空间,2017-02-01
0 19 0 0 0,熊出没·奇幻空间,2017-04-12
19 0 0 0 0,熊出没·奇幻空间,2017-02-03
19 0 0 0 0,熊出没·奇幻空间,2017-02-17
19 0 19 0 0,熊出没·奇幻空间,2017-01-30
0 0 0 19 0,熊出没·奇幻空间,2017-02-07
0 19 0 0 0,熊出没·奇幻空间,2017-01-22
0 0 0 19 0,熊出没·奇幻空间,2017-02-12
19 0 0 0 0,熊出没·奇幻空间,2017-04-30
0 19 38 0 0,熊出没·奇幻空间,2017-02-19
0 19 19 0 0,熊出没·奇幻空间,2017-02-06
19 0 0 0 0,熊出没·奇幻空间,2017-05-09
0 0 19 0 0,熊出没·奇幻空间,2017-07-27
0 0 19 0 0,熊出没·奇幻空间,2017-07-15
0 0 19 0 0,熊出没·奇幻空间,2017-06-05
0 19 0 0 0,熊出没·奇幻空间,2017-04-13
0 19 0 0 0,熊出没·奇幻空间,2017-05-10
0 0 19 0 0,熊出没·奇幻空间,2017-08-29
513 19 19 95 19,三生三世十里桃花,2017-08-03
38 0 0 0 0,三生三世十里桃花,2017-08-02
38 0 0 0 0,三生三世十里桃花,2017-08-05
19 0 0 0 0,三生三世十里桃花,2017-07-29
95 38 19 19 0,情圣,2016-12-30
0 38 38 0 0,情圣,2016-12-25
0 57 0 38 0,情圣,2016-12-24
19 0 19 0 0,情圣,2016-12-29
19 0 0 19 0,情圣,2016-12-28
0 19 19 19 0,情圣,2017-01-02
19 0 19 19 0,情圣,2016-12-31
0 19 0 0 0,情圣,2016-12-26
38 0 19 0 0,情圣,2017-01-01
0 0 19 0 0,情圣,2016-12-22
19 0 19 0 0,情圣,2017-01-03
0 0 19 0 0,情圣,2017-01-08
0 19 0 0 0,情圣,2017-01-04
19 0 0 0 0,情圣,2016-12-27
0 0 19 0 0,情圣,2016-12-21
0 0 38 57 38,星球大战外传：侠盗一号,2016-12-16
0 0 19 76 95,星球大战外传：侠盗一号,2016-12-15
0 19 76 38 19,星球大战外传：侠盗一号,2017-01-06
0 0 19 19 0,星球大战外传：侠盗一号,2016-12-18
0 0 0 0 19,星球大战外传：侠盗一号,2016-12-26
0 0 19 0 0,星球大战外传：侠盗一号,2016-12-22
0 38 0 0 0,星球大战外传：侠盗一号,2017-01-07
0 0 19 0 0,星球大战外传：侠盗一号,2016-12-19
0 0 0 19 19,星球大战外传：侠盗一号,2017-01-01
0 0 19 0 0,星球大战外传：侠盗一号,2016-12-14
0 0 38 0 0,星球大战外传：侠盗一号,2016-12-17
19 0 0 19 0,星球大战外传：侠盗一号,2017-01-08
0 0 0 19 0,星球大战外传：侠盗一号,2017-01-25
19 0 38 19 0,杀破狼·贪狼,2017-08-18
0 0 0 114 0,杀破狼·贪狼,2017-08-14
0 0 19 57 0,杀破狼·贪狼,2017-08-09
0 19 95 133 0,杀破狼·贪狼,2017-08-17
0 0 76 0 0,杀破狼·贪狼,2017-08-19
0 0 19 19 19,杀破狼·贪狼,2017-08-15
0 0 0 38 0,杀破狼·贪狼,2017-08-20
0 0 19 38 0,杀破狼·贪狼,2017-08-13
0 0 19 0 0,杀破狼·贪狼,2017-08-12
0 19 76 114 0,拆弹专家,2017-04-28
0 19 114 38 0,拆弹专家,2017-04-27
0 0 0 19 0,拆弹专家,2017-04-18
38 19 76 38 0,拆弹专家,2017-04-29
0 0 0 19 0,拆弹专家,2017-04-17
0 19 19 19 0,拆弹专家,2017-04-30
0 0 19 0 0,拆弹专家,2017-04-09
19 0 0 0 0,拆弹专家,2017-04-21
0 19 19 0 0,拆弹专家,2017-04-26
0 19 0 0 0,拆弹专家,2017-05-03
0 0 38 0 0,嫌疑人x的献身,2017-03-25
0 0 38 0 0,嫌疑人x的献身,2017-03-27
19 0 0 0 0,嫌疑人x的献身,2017-03-21
0 95 0 0 0,嫌疑人x的献身,2017-03-29
19 95 38 0 0,嫌疑人x的献身,2017-03-31
0 57 38 0 0,嫌疑人x的献身,2017-03-30
0 57 38 0 0,嫌疑人x的献身,2017-03-28
0 38 0 0 0,嫌疑人x的献身,2017-03-24
0 19 0 19 0,嫌疑人x的献身,2017-03-23
19 0 19 38 0,嫌疑人x的献身,2017-04-01
0 0 19 0 0,嫌疑人x的献身,2017-03-22
0 19 19 0 0,嫌疑人x的献身,2017-04-02
19 0 38 57 0,太空旅客,2017-01-13
0 0 19 19 0,太空旅客,2017-01-14
0 19 0 0 19,太空旅客,2016-12-28
38 57 38 0 0,太空旅客,2016-12-23
19 0 0 0 0,太空旅客,2016-12-24
0 19 0 0 0,太空旅客,2017-01-04
0 38 0 19 0,太空旅客,2016-12-22
0 19 0 0 0,太空旅客,2016-12-30
0 19 0 19 0,太空旅客,2017-01-12
19 0 19 0 0,太空旅客,2016-12-25
0 0 0 19 0,太空旅客,2017-01-16
0 19 19 0 0,太空旅客,2017-01-06
0 0 19 0 0,太空旅客,2016-12-26
0 0 19 0 0,太空旅客,2016-12-27
0 0 19 0 0,太空旅客,2016-12-21
0 0 0 19 0,太空旅客,2017-01-01
0 19 0 0 0,太空旅客,2017-01-15
0 0 19 0 0,太空旅客,2017-01-09
0 19 19 0 0,太空旅客,2017-01-11
0 0 19 0 0,太空旅客,2017-01-10
0 0 19 0 0,太空旅客,2017-01-18
0 19 95 114 0,记忆大师,2017-04-28
0 57 38 19 19,记忆大师,2017-04-29
0 19 38 0 0,记忆大师,2017-04-21
19 19 19 0 19,记忆大师,2017-04-23
0 0 57 0 0,记忆大师,2017-04-25
0 0 0 19 19,记忆大师,2017-04-24
19 19 19 38 0,记忆大师,2017-04-20
19 0 19 0 0,记忆大师,2017-04-30
0 0 0 19 0,记忆大师,2017-04-27
0 19 0 0 0,记忆大师,2017-05-05
0 0 19 0 0,异形：契约,2017-05-18
0 0 0 19 0,异形：契约,2017-05-12
19 57 38 95 19,异形：契约,2017-05-10
0 38 19 0 0,异形：契约,2017-05-14
0 0 19 38 0,异形：契约,2017-06-06
0 0 0 0 19,异形：契约,2017-05-08
0 0 0 19 0,异形：契约,2017-06-17
0 0 0 19 0,异形：契约,2017-05-23
0 0 19 0 0,异形：契约,2017-05-21
0 19 0 38 0,异形：契约,2017-06-16
0 0 0 19 0,异形：契约,2017-06-07
0 0 0 0 19,异形：契约,2017-05-30
0 0 0 19 0,异形：契约,2017-05-16
0 0 19 38 19,异形：契约,2017-06-18
0 19 0 0 0,异形：契约,2017-05-09
0 0 0 0 19,异形：契约,2017-06-10
0 0 0 19 0,异形：契约,2017-05-11
0 0 19 0 0,异形：契约,2017-05-13
0 0 0 19 0,异形：契约,2017-06-04
0 19 19 38 0,星际特工：千星之城,2017-07-22
0 0 0 19 0,星际特工：千星之城,2017-07-28
0 19 57 38 19,星际特工：千星之城,2017-07-21
0 0 19 0 0,星际特工：千星之城,2017-08-13
0 0 38 0 0,星际特工：千星之城,2017-07-23
0 0 57 0 19,星际特工：千星之城,2017-08-03
19 28 57 38 0,星际特工：千星之城,2017-08-25
0 0 19 0 0,星际特工：千星之城,2017-08-09
0 0 19 0 0,星际特工：千星之城,2017-08-06
19 0 0 0 0,星际特工：千星之城,2017-07-26
0 19 0 0 0,星际特工：千星之城,2017-08-10
0 0 0 19 0,星际特工：千星之城,2017-08-15
0 0 0 19 0,星际特工：千星之城,2017-08-14
0 0 0 19 0,星际特工：千星之城,2017-08-18
0 0 19 0 0,星际特工：千星之城,2017-08-27
0 0 19 0 0,星际特工：千星之城,2017-08-26
0 0 0 19 0,星际特工：千星之城,2017-08-02
0 0 19 0 0,星际特工：千星之城,2017-08-20
0 0 19 0 0,星际特工：千星之城,2017-08-30
0 0 0 0 10,星际特工：千星之城,2017-07-30
57 114 19 0 19,心理罪,2017-08-11
19 57 0 76 0,心理罪,2017-08-10
0 0 0 38 38,心理罪,2017-08-08
0 0 19 19 0,心理罪,2017-08-05
0 38 19 0 0,心理罪,2017-08-09
19 57 19 0 0,心理罪,2017-08-12
0 0 0 19 19,心理罪,2017-08-04
0 19 0 0 19,心理罪,2017-08-03
0 0 0 19 0,心理罪,2017-08-02
19 0 0 19 0,心理罪,2017-08-06
19 0 19 0 0,铁道飞虎,2016-12-21
133 76 76 57 19,铁道飞虎,2016-12-23
114 38 19 0 0,铁道飞虎,2016-12-22
38 0 0 0 0,铁道飞虎,2016-12-20
19 0 0 0 19,铁道飞虎,2016-12-25
19 0 0 0 0,铁道飞虎,2016-12-26
19 0 0 0 0,铁道飞虎,2016-12-28
0 57 0 0 0,铁道飞虎,2016-12-24
0 0 19 0 0,铁道飞虎,2017-09-02
0 0 75 75 38,绣春刀ii：修罗战场,2017-07-15
0 0 38 112 0,绣春刀ii：修罗战场,2017-07-13
0 0 38 38 0,绣春刀ii：修罗战场,2017-07-14
0 0 38 38 0,绣春刀ii：修罗战场,2017-07-18
0 38 0 38 0,绣春刀ii：修罗战场,2017-06-19
0 74 38 75 0,绣春刀ii：修罗战场,2017-07-16
0 37 38 113 37,绣春刀ii：修罗战场,2017-07-19
0 0 0 0 38,绣春刀ii：修罗战场,2017-06-21
0 0 0 75 0,绣春刀ii：修罗战场,2017-07-23
0 0 0 37 0,绣春刀ii：修罗战场,2017-07-17
0 0 74 37 0,绣春刀ii：修罗战场,2017-07-20
0 0 37 74 0,绣春刀ii：修罗战场,2017-07-21
0 0 0 37 0,绣春刀ii：修罗战场,2017-06-20
0 0 0 37 0,绣春刀ii：修罗战场,2017-06-18
0 19 19 19 38,爱乐之城,2016-12-18
0 0 19 0 19,爱乐之城,2016-12-16
0 0 0 0 38,爱乐之城,2016-09-19
0 57 19 0 19,爱乐之城,2016-12-26
0 0 0 0 19,爱乐之城,2017-01-24
0 0 0 0 19,爱乐之城,2016-12-14
0 0 19 0 0,爱乐之城,2016-12-13
0 0 0 0 38,爱乐之城,2016-08-31
0 19 0 0 0,爱乐之城,2016-12-21
0 19 0 0 0,爱乐之城,2017-01-09
0 19 0 0 0,爱乐之城,2017-01-04
0 0 0 0 19,爱乐之城,2016-12-10
0 0 0 0 19,爱乐之城,2016-09-01
0 0 0 0 19,爱乐之城,2016-12-27
0 0 0 0 19,爱乐之城,2016-11-17
0 0 0 0 19,爱乐之城,2016-12-09
0 0 0 38 0,爱乐之城,2017-02-11
0 19 0 0 0,爱乐之城,2017-01-31
0 19 0 0 0,爱乐之城,2017-02-08
0 0 19 0 0,爱乐之城,2017-01-27
0 19 0 0 0,爱乐之城,2016-12-19
0 0 0 0 19,爱乐之城,2017-01-18
0 0 0 19 0,爱乐之城,2017-01-23
0 19 0 0 0,爱乐之城,2017-01-21
19 0 19 0 0,爱乐之城,2017-01-15
19 0 0 0 0,爱乐之城,2017-01-14
0 0 0 0 19,爱乐之城,2016-12-23
378 299 151 0 0,京城81号2,2017-07-06
0 76 0 0 0,京城81号2,2017-07-03
112 37 75 0 0,京城81号2,2017-07-07
0 37 0 0 0,京城81号2,2017-08-30
74 37 0 0 0,京城81号2,2017-07-08
0 0 37 0 0,京城81号2,2017-07-01
0 37 0 0 0,京城81号2,2017-07-09
37 0 0 0 0,京城81号2,2017-08-20
0 95 57 0 0,侠盗联盟,2017-08-08
19 95 76 19 19,侠盗联盟,2017-08-11
0 0 19 0 0,侠盗联盟,2017-08-09
0 38 0 0 0,侠盗联盟,2017-08-07
0 95 38 0 0,侠盗联盟,2017-08-12
0 0 0 19 0,侠盗联盟,2017-08-02
0 0 38 0 0,侠盗联盟,2017-08-10
0 0 19 0 0,侠盗联盟,2017-08-03
0 0 19 0 0,侠盗联盟,2017-08-21
0 19 0 0 0,侠盗联盟,2017-08-14
0 0 19 0 0,侠盗联盟,2017-08-04
0 0 19 0 0,侠盗联盟,2017-08-15
0 0 19 0 0,侠盗联盟,2017-08-18
0 57 57 38 0,喜欢你,2017-04-08
0 0 19 0 0,喜欢你,2017-04-12
0 0 19 0 0,喜欢你,2017-04-06
19 38 0 0 0,喜欢你,2017-04-16
19 0 19 0 0,喜欢你,2017-04-13
0 0 19 57 0,喜欢你,2017-04-09
0 19 0 0 0,喜欢你,2017-04-10
19 0 0 19 0,喜欢你,2017-04-28
0 38 19 0 0,喜欢你,2017-04-21
0 38 0 0 0,喜欢你,2017-04-19
0 0 0 19 0,喜欢你,2017-04-25
0 19 0 0 0,喜欢你,2017-04-18
0 0 19 19 0,喜欢你,2017-04-30
19 0 0 0 0,喜欢你,2017-04-15
19 19 0 0 0,喜欢你,2017-04-14
0 0 19 19 0,喜欢你,2017-04-22
0 38 0 0 0,喜欢你,2017-04-20
0 0 19 0 0,喜欢你,2017-04-17
0 0 19 0 0,喜欢你,2017-04-04
0 0 0 19 0,欢乐好声音,2016-12-16
0 0 0 19 19,欢乐好声音,2016-12-29
0 0 0 57 0,欢乐好声音,2017-01-10
0 0 57 38 38,欢乐好声音,2017-02-17
0 0 0 19 0,欢乐好声音,2016-12-26
0 0 0 19 0,欢乐好声音,2016-12-11
0 0 19 0 19,欢乐好声音,2016-12-25
0 0 0 19 0,欢乐好声音,2017-02-26
0 0 0 19 0,欢乐好声音,2016-09-12
0 0 0 19 0,欢乐好声音,2017-02-14
0 0 0 19 0,欢乐好声音,2016-11-24
0 0 19 0 0,欢乐好声音,2016-12-15
0 0 0 19 0,欢乐好声音,2017-02-19
0 0 0 0 38,欢乐好声音,2017-02-18
0 0 0 19 19,欢乐好声音,2016-12-24
0 0 0 19 0,欢乐好声音,2017-03-05
0 0 0 38 0,欢乐好声音,2016-12-21
0 0 0 19 0,欢乐好声音,2016-12-22
0 0 19 0 0,欢乐好声音,2017-01-02
0 0 0 0 19,欢乐好声音,2017-02-24
0 0 0 0 19,欢乐好声音,2016-12-23
0 0 0 19 0,欢乐好声音,2017-02-15
0 0 0 0 19,欢乐好声音,2017-02-02
0 19 0 0 0,欢乐好声音,2017-03-06
0 0 19 0 0,欢乐好声音,2017-02-23
0 0 19 0 0,欢乐好声音,2017-02-21
95 0 0 0 0,逆时营救,2017-06-25
57 19 0 0 0,逆时营救,2017-06-19
76 19 0 57 0,逆时营救,2017-06-26
38 0 0 0 0,逆时营救,2017-06-24
19 0 0 0 0,逆时营救,2017-06-12
38 19 0 19 0,逆时营救,2017-06-27
