姓名|角色名称|中文名|英文名|别名|粉丝名
王宝强|[('唐人街探案2', '唐仁'), ('大闹天竺', '武空'), ('唐人街探案', '唐仁'), ('不可思异', '唐立果'), ('道士下山', '何安'), ('奔跑吧兄弟', '王宝强'), ('一个人的武林', '封于修'), ('冰封：重生之门', '萨熬'), ('天注定', '三儿'), ('越来越好之村晚', '杨果树'), ('人再囧途之泰囧', '王宝'), ('追凶', '吴在军'), ('神通乡巴佬', '楚中天'), ('高海拔之恋ii', '张行'), ('hello!树先生', '树先生'), ('蔡李佛拳2010', '陈成'), ('最爱', '大嘴'), ('人在囧途', '牛耿'), ('东风雨', '交通员(小开)'), ('火龙对决', '黄勇'), ('大兵小将', '探报'), ('大有前途', '阿坤'), ('大胃王', '小帅'), ('建国大业', '四野小战士'), ('李米的猜想', '裘水天'), ('绿满山乡', '王小强'), ('大电影2.0之两个傻瓜的荒唐事', '路人'), ('集结号', '姜茂财'), ('烈火男儿', '龙大川'), ('天下无贼', '傻根'), ('盲井', '元凤鸣'), ('我是机器人', '元宝'), ('隋唐演义', '李元霸'), ('我的父亲是板凳', '板凳'), ('新雷锋班的故事', '客串'), ('为了新中国前进', '董存瑞'), ('我的兄弟叫顺溜', '顺溜'), ('红旗渠的儿女们', '宝祥'), ('士兵突击', '许三多'), ('传奇·幻想殷商', '哪吒'), ('猜心妙手', '砚墨'), ('暗算', '阿炳'), ('七品钦差刘罗锅', '小二')]|王宝强|无|无|无
王小山|[('床上关系', '小偷'), ('假发', '徐子钧'), ('神探亨特张', '盗贼')]|王小山|无|无|无
无|[]|无|无|无|无
王希维|[('如果我爱你', '萱妮'), ('幸福爱人', '汪昱晴'), ('爱情回来了', 'fiona'), ('恋上你,爱上我', '陆雪'), ('女人的武器', '夏安琪'), ('海上孟府', '桃花老六'), ('四手妙弹', '江一萍'), ('倾城绝恋', '静妃'), ('爱可以重来', '林萌萌'), ('金枝玉叶', '方黎'), ('我家有个大模头', '林美娜'), ('张小五的春天', '娜娜'), ('准妈妈四重奏', '齐小雅'), ('娱乐没有圈', '美美'), ('丑女无敌4', '爱丽丝'), ('走出你的爱', '王小依'), ('非诚勿扰2', '选美冠军'), ('化粧师', '雯雯'), ('时尚先生', '曾小姐'), ('无法结局', '蓝玉'), ('男孩都想有辆车', '小雪'), ('离歌', '于安朵')]|王希维|无|无|无
王庆祥|[('镖门', '戴海臣'), ('北平无战事', '方步亭'), ('掩不住的阳光', '徐特立'), ('聪明的小空空', '赵光义'), ('边城春秋', '段向遥'), ('刘志丹与谢子长', '谢子长'), ('天下沧桑/乞丐武训', '巡抚大人'), ('还看今朝', '杜来峰'), ('圣天门口', '杭大爹'), ('百媚千娇', '肖老爷'), ('葵花怒放的声响', '袁正杰'), ('华夏女杰', '吴永富'), ('国防生', '梁校长'), ('旗舰', '鲁淮成'), ('沧海', '海军首长'), ('精武飞鸿', '黄飞鸿'), ('大明王朝1566', '胡宗宪'), ('北魏冯太后', '权臣乙浑'), ('飓风', '翟若冰'), ('以朋友的名义', '罗父'), ('大宋提刑官2', '宋慈'), ('遍地英雄', '杨雨田'), ('血战到底', '马师爷'), ('家风', '杨正民'), ('羊城暗哨', '廖向晖'), ('上书房', '朱师傅'), ('最高任务', '程新民'), ('第一种危机', '肖震南'), ('水兵俱乐部', '老水兵'), ('底牌', '乔云风'), ('大明王朝惊变录', '于谦'), ('暗战', '纪言德'), ('黑水', '莫华剑'), ('世纪末的晚钟', '沈家康'), ('中国足球', '陈大江'), ('执行局长', '赵杰'), ('天下粮仓', '刘统勋'), ('红色康乃馨', '宗鸣'), ('游戏规则', '林信达'), ('波涛汹涌', '秦矢'), ('儿科医生', '蒋翼军'), ('走过柳源', '方洪彦'), ('驱逐舰舰长', '严同山'), ('无言的旅程', '纪浩'), ('股市情潮', '吴仁'), ('合理冲撞', '足球教练'), ('北京爱情故事', '王大齐'), ('一代宗师', '宫羽田'), ('蓝调海之恋', '叶贤'), ('十二生肖', '关教授'), ('精诚大医', '李志华'), ('愚公移山', '李双良'), ('赤壁', '孔融'), ('任长霞', '副局长'), ('银饰', '县太爷'), ('生死抉择', '李高成'), ('秦颂', '李斯'), ('神秘失踪的船', '方大雨'), ('破袭战', '梁振山'), ('瀚海潮', '严建平')]|王庆祥|wang qingxiang|无|无
王建国|[]|王建国|无|无|无
王建成|[]|王建成|无|无|无
王建新|[('小小校长', '王局长'), ('她们，他们', '陈起恒'), ('汉太尉杨震', '樊丰'), ('镖行天下之深宅大院', '侯天彪'), ('镖行天下之牡丹阁', '侯天彪'), ('镖行天下之风云际会', '侯天彪'), ('镖行天下之七星端砚', '侯天彪'), ('镖行天下之神武大炮', '侯天彪'), ('镖行天下之走单骑', '侯天彪'), ('镖行天下之桃花劫', '侯天彪'), ('镖行天下之瞒天过海', '侯天彪'), ('大决战2：淮海战役', '华野文工团团长'), ('国家底线', '黄奇'), ('神探狄仁杰之琼花金人案', '弘毅'), ('袁崇焕', '毛文龙'), ('林海雪原', '郑三炮'), ('生死黎平', '赵觉仙'), ('半为苍生半美人', '曹操'), ('班淑传奇', '寇父'), ('金玉瑶', '杨局长'), ('幸福的方向', '管老虎'), ('花火', '凌永雄'), ('奔跑吧，依兰', '陈经纶'), ('美人制造', '张柬之'), ('洪流', '何彪'), ('恋恋不忘', '梁瑞强'), ('战地狮吼', '张政'), ('笑傲江湖', '黄钟公'), ('天龙八部', '耶律洪基'), ('隋唐演义', '罗艺'), ('真爱惹麻烦', '方城'), ('像火花像蝴蝶', '铁向山'), ('我家有喜', '康正生'), ('自古英雄出少年', '紫麟上人'), ('刺青', '佐佐木'), ('施公案', '查布泰'), ('夏家三千金', '严民中'), ('新还珠格格', '齐克尔'), ('后宫', '五皇叔'), ('爱情睡醒了', '沐父'), ('水浒传', '卢俊义'), ('秘杀名单', '李子贤'), ('一起又看流星雨', '慕容中石'), ('虎山行', '仇大虎'), ('一起来看流星雨', '慕容中石'), ('天地传奇', '敖广'), ('黑玫瑰', '高占奎'), ('父亲的战争', '蒋光心'), ('地下地上', '马天成'), ('牌坊下的女人', '佟守成'), ('少林僧兵', '汪直'), ('a计划', '古豹'), ('小城往事', '沈虎'), ('盲侠金鱼飞天猪', '白无常'), ('神鬼八阵图', '千魁'), ('侠骨丹心', '阳浩'), ('中华英雄', '罗汉'), ('魔界之龙珠', '玄武'), ('傻王闯天下', '林本熙'), ('千古风流一坛醋', '程咬金'), ('皇后进宫', '国师'), ('红罂粟', '李卫国'), ('生命无罪', '刘永民'), ('南少林', '张信德'), ('七品钦差刘罗锅', '国泰'), ('高老头奇遇记', '简宁'), ('至尊食王', '九纹龙'), ('吕布与貂蝉', '马元义'), ('武林外史', '柴玉关'), ('武状元苏灿', '蒙照'), ('镜花缘传奇', '骆宾王'), ('豪门寡妇', '蒲刚'), ('保镖之天之娇女', '赵光远'), ('马永贞', '梅应春'), ('小女人', '绑票者'), ('汉武帝', '公孙敖'), ('贺兰雪', '都罗青狗'), ('都市放牛', '蛮牛'), ('豫东之战', '郭继胜'), ('古城情恨', '郭继胜')]|王建新|无|建新|无
王德顺|[('盛先生的花儿', '盛先生'), ('天亮之前', '音像店老板'), ('冬', '老人'), ('重返20岁', '李大海'), ('轩辕大帝', '炎帝'), ('煎饼侠', '功夫大师'), ('冬', '老人'), ('判若云泥', '店主'), ('忠烈杨家将', '鬼谷先生'), ('飞越老人院', '老林'), ('我知女人心', '孙美声'), ('剑雨', '神捕'), ('狄仁杰之通天帝国', '瞎子淩'), ('白银帝国', '镖师'), ('功夫之王', '玉皇大帝'), ('天地英雄', '老不死的'), ('夜天子', '蛊神教教主'), ('远大前程', '楚天枢'), ('中国式关系', '骊叔'), ('千金女贼', '残叔'), ('我的二哥二嫂', '爷爷'), ('旋风少女', '万馆长'), ('二炮手', '谢老凿'), ('大秦帝国之纵横', '龙贾'), ('断喉弩', '萨司令'), ('传奇之王', '牢中帝师'), ('万卷楼', '大将军'), ('闯关东', '独臂老人'), ('侠骨丹心', '仲长统'), ('李卫辞官', '九公'), ('血荐轩辕', '戚继光'), ('乾隆王朝', '阿桂'), ('福星高照猪八戒', '护国公'), ('少年张三丰', '易云'), ('金蚕丝雨', '傅天威'), ('皇朝太医', '农金匮')]|王德顺|无|无|无
王志文|[('纪委书记', '赵达声'), ('一树桃花开', '盛茂林'), ('待嫁老爸', '周东风'), ('我心灿烂', '赵方圆'), ('大丈夫', '欧阳剑'), ('感动生命', '司马博铭'), ('人到四十', '梁国辉'), ('青瓷', '张仲平'), ('谍战深海', '王维韬'), ('旗袍', '丁默群'), ('手机', '严守一'), ('幸福还有多远', '吴天亮'), ('宽恕', '肖一航'), ('天道', '丁元英'), ('龙虎人生', '杨冠雨'), ('国家干部', '夏中民'), ('天之云地之雾', '乔小龙'), ('da师', '龙凯峰'), ('黑冰', '郭小鹏'), ('好日子一起过', '周国建'), ('让爱作主', '耿林'), ('南国大案之人兽大战', '张成德'), ('刑警本色', '萧文'), ('白板', '建川'), ('找不着北', '舒凡'), ('走出凯旋门', '韩涵'), ('像春天一样', '肖亮'), ('闯上海', '托尼'), ('无悔追踪', '冯静波'), ('大屋的丫环们', '少爷'), ('东边日出西边雨', '陆建平'), ('我爱我家之生活之友', '耶稣同志'), ('过把瘾', '方言'), ('我爱我家', '客串'), ('皇城根儿', '王喜'), ('吴敬梓', '吴敬梓'), ('杀人街的故事', '苏建'), ('南行记', '青年艾芜'), ('正午阳光', '程亮平'), ('柳亚子', '柳亚子'), ('伦敦启示录', '茕茕'), ('功夫熊猫3', '师父（中文配音）'), ('杀戮之地', '外交官'), ('风声', '王田香'), ('麦田', '匪首'), ('兄弟之生死同盟', '谭信天'), ('两个人的房间', '民警'), ('墨攻', '梁王'), ('求求你表扬我', '古国歌'), ('美人依旧', '黄先生'), ('枪林恋曲', '华头'), ('爱作战', '劫匪老大'), ('天黑请闭眼', '马魁'), ('谁说我不在乎', '老曹'), ('芬妮的微笑', '马云龙'), ('和你在一起', '江老师'), ('说出你的秘密', '李国强'), ('小说', '赵子轩'), ('半生缘', '张豫瑾'), ('荆轲刺秦王', '嫪毐'), ('超导', '贝小知'), ('风云之雄霸天下', '龙袖'), ('紧急救助', '公冶弘'), ('飞虎队', '张兰'), ('红粉', '老浦'), ('中学生守则', '徐涛'), ('周末情人', '拉拉'), ('家丑', '朱辉正'), ('风雨故园', '子凌公公'), ('大决战之辽沈战役', '黄志勇'), ('秘密采访', '麦克锋'), ('两宫皇太后', '同治皇帝'), ('红军留下的儿子', '林秉苏')]|王志文|无|王老师、文叔、表哥、文哥、老王|无
王彦霖|[('无心法师2', '顾基'), ('楚乔传', '宇文怀'), ('那片星空那片海', '朱一漾'), ('医馆笑传2', '刘松'), ('漂洋过海来看你', '苏畅'), ('秦时明月', '东郭植'), ('无心法师', '顾玄武'), ('千金女贼', '石头'), ('遇见爱情的利先生', '裴家齐'), ('旋风十一人', '崇越'), ('半步天涯', '王秘书'), ('遇见王沥川', '谢晓东'), ('我的灿烂人生', '郑棋'), ('火锅英雄', '唐僧（反派）')]|王彦霖|无|无|无
王志飞|[('深流', '李华英'), ('安居', '张家琪'), ('再见，老婆大人', '黄松宁'), ('田教授和贤教授', '贤锋'), ('决杀', '欧阳尊'), ('婚姻时差', '李海'), ('婚战', '秦文天'), ('冲出迷雾', '柯阳'), ('正午阳光', '康民生'), ('大宅门1912', '田子行'), ('浮沉', '于志德'), ('攻心', '白颜洲'), ('向东是大海', '周汉良'), ('护国大将军', '蔡锷'), ('刀尖上行走', '金深水'), ('草根王', '朱山'), ('政协主席', '许智龙'), ('煮海', '范旭东'), ('苏菲的供词', '张平凉'), ('大秦帝国之裂变', '商鞅'), ('咱爸咱妈六十年', '高树江'), ('秘密图纸', '陈亮'), ('派出所的故事', '杨林'), ('十万人家', '沈万家'), ('撞车', '朱刚'), ('拯救之非常地带', '苏克'), ('高纬度战栗', '邵长水'), ('天地有爱', '雷力扬'), ('爱情二十年', '杜志民'), ('保姆', '秦可天'), ('文化站长', '张书记'), ('无国界行动', '沙海'), ('龙虎人生', '杜松山'), ('快乐星球Ⅱ', '叶教练'), ('女人香', '赵明宇'), ('风吹云动星不动', '钮五阳'), ('谁为爱情买单', '孔繁荣'), ('傻小李元霸', '杨广'), ('英雄泪', '钟离剑'), ('这里盛产金苹果', '蒲逸舟'), ('和你在一起', '江国华'), ('双枪老太婆传奇', '闵加林'), ('沉默的证人', '陈俊威'), ('北京，我的爱', '酒店总经理'), ('蜕变', '李小路'), ('案发现场', '陈冰'), ('十三号摄影棚', '马建'), ('人证', '陈世迅（王天成）'), ('真相的背后', '高飞'), ('最后的棚户人家', '余恩'), ('雨夜惊情', '卫青'), ('暴风法庭', '童涛'), ('救赎', '丁桥'), ('导弹旅长', '何涛'), ('蓝色较量', '方舟'), ('魂断太平', '李功昌'), ('妒忌', '段大功'), ('游戏规则', '沈尼青'), ('上海秘密战', '李小光'), ('阴谋刺杀', '朱兆明'), ('蜗牛行动', '赵永平'), ('刑警没有浪漫', '孙剑'), ('豪门寡妇', '梁甫华'), ('突出重围', '唐龙'), ('今生情难还', '常小飞'), ('五爱街', '陈默'), ('相约', '江达明'), ('若男和她的儿女们', '赵光辉'), ('东瞧瞧，西望望', '柯大本'), ('千秋英烈传（刺秦篇）', '太子丹'), ('孙子兵法之战国传奇（孙武篇）', '阖闾'), ('书剑恩仇录', '余鱼同'), ('北洋水师', '萨镇冰'), ('好爸爸坏爸爸', '陈平'), ('二次初恋', '路建国'), ('雨中的树', '李林森'), ('我们', '王列车长'), ('戒烟不戒酒', '赵总'), ('暮鼓晨钟', '章明'), ('爱上新世纪', '张伟'), ('舞女', '伴舞男人'), ('闯入者', '黄锋'), ('中国人', '江秘书'), ('东方第一刺客', '吴怀远'), ('地狱山庄', '大少爷 大文'), ('侠骨风流', '李世民')]|王志飞|wangzhifei|老大|无
王思思|[('怒放之青春再见', '刘云'), ('爱有多久之春暖花开', '橙橙'), ('绝录求生', '龙梅'), ('三枪拍案惊奇', '女囚甲'), ('海上牧云记', '赫兰铁朵'), ('爱我@别走', '宋晓琳'), ('天生要完美', '宋春非'), ('毕业歌', '洪望梅'), ('猎人', '许留馨'), ('青春万万岁', '鲁小冰'), ('一场奋不顾身的爱情', '丁人人'), ('喜事成双', '阮甜'), ('爱的相对论', '吴希'), ('我心灿烂', '赵家慧'), ('皮影人', '梦青梅'), ('小菊的春天', '方羽心'), ('战争泪', '刘幺妹'), ('小菊的秋天', '方羽心'), ('武林猛虎', '李印月'), ('小儿难养', '赵晓柔'), ('李春天的春天', '姚静'), ('人到四十', '华硕')]|王思思|无|无|无
无|[]|无|无|无|无
王慧|[('巴啦啦小魔仙之魔箭公主', '魔仙女王'), ('巴啦啦小魔仙之魔法的考验', '魔仙女王'), ('巴啦啦小魔仙大电影', '魔仙女王'), ('巴啦啦小魔仙之音符之谜', '魔仙女王'), ('巴啦啦小魔仙', '魔仙女王'), ('爸爸向前走', '刘慧慧')]|王慧|shinewong|无|无
王成阳|[('黄金血道', '大王'), ('宋耀如·父亲', '青年宋耀如'), ('鹿鼎记', '童年韦小宝'), ('美男记', '小川'), ('雨中的树', '李林森的儿子'), ('星海', '少年星海'), ('男生贾里新传', '贾里'), ('锦绣花园', '舞台监督'), ('乌龟也上网', '王府井'), ('棋王和他的儿子', '刘一川')]|王成阳|无|august wang|无
王敏德|[('老冯日记', '王敏德'), ('创世纪', 'barry'), ('光辉岁月', '方彼得'), ('风暴', '警司'), ('大追捕', '徐翰林'), ('寒战', '曾向荣'), ('赤色危机', '客串'), ('亲密敌人', '客串'), ('枪王之王', '客串'), ('飞砂风中转', '客串'), ('窃听风云', 'michael wong'), ('情陷曼哈顿', '客串'), ('七剑', '多哥达亲王'), ('ptu女警之偶然陷阱', '王警司'), ('精武家庭', 'rocco'), ('不停站的列车', '石峰'), ('魔幻厨房', 'mook'), ('飞虎雄师之点指兵兵', '阿汉'), ('幕后杀手', '客串'), ('飞虎雄师', '阿汉'), ('当男人变成女人', 'michael'), ('我左眼见到鬼', '客串'), ('横行霸道', 'rick'), ('冷静与热情之间', '客串'), ('困兽', '客串'), ('最后通牒', '阿明'), ('无法无天', 'michael'), ('人头豆腐汤', '客串'), ('贼公子', 'michael'), ('黑血', '阿德'), ('夏日的么么茶', '客串'), ('里情', 'miles ma'), ('行规', 'mike'), ('天地无容', '客串'), ('暴力刑警', '古sir'), ('鬼片王之再现凶榜', '何sir'), ('阴魂不散', '客串'), ('ko雷霆一击', '客串'), ('豹妹', 'john'), ('浑身是胆', 'michael'), ('野兽刑警', 'mike'), ('完全结婚手册', '王德森'), ('g4特工', '客串'), ('至激杀人犯', 'dee'), ('豪情盖天', '客串'), ('飞虎', 'dor'), ('运财至叻星', '客串'), ('国产雪蛤威龙', '客串'), ('三个受伤的警察', '客串'), ('天涯海角', '阿德'), ('追女仔95之绮梦', '客串'), ('蜘蛛女', '客串'), ('狼吻夜惊魂', '客串'), ('狂野生死恋', '客串'), ('旺角的天空', '客串'), ('月黑风高', '客串'), ('霹雳火', '客串'), ('不道德的礼物', 'honey'), ('飞虎雄心', '何志伟'), ('恋爱的天空', '客串'), ('珠光宝气', '珠神'), ('新英雄本色', 'duke simon'), ('花旗少林', 'michael'), ('锦绣前程', '客串'), ('挡不住的疯情', '查理'), ('新难兄难弟', '客串'), ('风尘三侠', '客串'), ('城市猎人', '客串'), ('危情', '福田'), ('白玫瑰', '客串'), ('冷面狙击手', 'james'), ('望夫成龙', '客串'), ('单身贵族', '客串'), ('大男人小传', 'joesph'), ('皇家师姐4之直击证人', '客串'), ('情义心', 'fury'), ('神奇两女侠', '客串'), ('痴心的我', '客串'), ('皇家战士', '米高'), ('龙在江湖', 'michael'), ('飞虎奇兵', '有钱')]|王敏德|无|michael fitzereld wong|无
王新华|[]|王新华|无|无|无
王晓|[]|王晓|无|无|无
王晓龙|[('《顺风车》', '刘晓六'), ('《钢的琴》', '乐队队长'), ('《战火中的兄弟》', '草上飞'), ('《踏破硝烟》', '包子'), ('《黎明决战》', '史昭'), ('《我姥爷1945》', '虎子'), ('《乱世三义》', '萨抱子'), ('《天下无贼》', '傻根')]|王晓龙|无|无|无
王晖|[('天涯浴血', '毛泽东'), ('历史转折中的邓小平', '毛泽东'), ('刘伯承元帅', '毛泽东'), ('毛岸英', '毛泽东'), ('战地黄花', '毛泽东'), ('阿娜尔罕', '毛泽东'), ('和平卫士', '侦察员王瑞'), ('井冈山', '毛泽覃'), ('萧锋血战陈庄', '政委萧锋'), ('开国丞相', '丞相 赵普射'), ('突然心动', '白云程'), ('非法途径', '银行行长雷学文'), ('一生为奴', '皇帝咸丰'), ('孝庄秘史', '大谋士 何骆会'), ('大汉巾帼', '丞相利苍'), ('少年天子之康熙篇', '王爷岳乐'), ('走向共和', '袁世凯谋士 扬杏成'), ('乾隆王朝', '皇太子 永星'), ('不嫁则已', '总经理 马功名'), ('非常接触', '东方胜'), ('白色陷阱', '倪少豪'), ('中国命运的决战', '毛泽东'), ('苦菜花', '教师 宫少倪'), ('梅花三弄', '画家 钟书琦'), ('先锋之那时青春', '毛泽东'), ('八七会议', '毛泽东'), ('忠诚与背叛', '毛泽东'), ('通道转兵', '毛泽东')]|王晖|无|王辉|无
王景春|[('离婚律师', '郑天涯'), ('80后的儿子50后的爸', '鲁大志'), ('女孩冲冲冲', '蔡文姬'), ('爸爸天亮叫我', '大个'), ('巴士警探', '艾群'), ('忠魂', '刘虎'), ('别让爱沉默', '尚恩前'), ('一针见血', '徐冰'), ('色拉青春', '张继龙'), ('都市男女', '蒋文彬'), ('粉红女郎', '郭海城替身'), ('生命的呼唤', '江少云'), ('都是天使惹的祸', '邵建涛'), ('威风凛凛', '张乐'), ('完全婚姻手册', '周树'), ('生死之门', '韩守义'), ('青春逗', '谣哥'), ('引爆者', '徐峰'), ('建军大业', '贺龙'), ('2016', '安成'), ('美好的意外', '李站长'), ('盗墓笔记', '吴三省'), ('我的“狐朋狗友”', '万众'), ('擦枪走火', '高大尚'), ('我是证人', '鲁力'), ('探灵档案', '大厨'), ('白日焰火', '荣荣'), ('有种', '方总'), ('警察日记', '郝万忠'), ('向阳坡传说', '马达'), ('笑过2012', '大马'), ('hold住爱', '包三禾/豹哥'), ('十二星座离奇事件', '经纪人'), ('我11', '王伯驹'), ('love', '葛庭'), ('成成烽火', '段中秀'), ('藏客', '冷一峰'), ('第一书记', '马昌平'), ('失踪', '文胜'), ('天花板', '傅冬'), ('疯狂的玫瑰', '宁五原'), ('夺金', '黑蛋'), ('落花有声', '傅东'), ('农民工', '茂盛'), ('无法结局', '张玉贵'), ('不许抢劫', '梅来'), ('棋王和他的儿子', '董佳'), ('西瓜树', '刘利民'), ('我们结婚吧', '罗民')]|王景春|无|无|无
无|[]|王晔|无|无|无
王智|[('超级翁婿', '女一号朱侏'), ('凉生，我们可不可以不忧伤', '宁信'), ('翻译官', '王琳琳'), ('三八线', '李珍英'), ('妻子的秘密', '宁夏'), ('画皮之真爱无悔', '芙蕖'), ('精忠岳飞', '乌诗玛'), ('孤岛飞鹰', '郑雅姝'), ('马永贞', '白小蝶'), ('下一个奇迹', '高妍'), ('战火中青春之血染风采', '潘十七'), ('新版水浒传', '金枝'), ('京东三枝花', '郑宛如'), ('喜临门', '玉蓉'), ('百年往事', '枝子'), ('目击者', '小叶'), ('时代狂人', '米粒'), ('2017', '徐子樱'), ('在世界中心呼唤爱', '孙教恋'), ('梦寻巴厘岛', '梅小美'), ('欧你个巴', '陆小雪'), ('夏洛特烦恼', '秋雅'), ('我爱灰太狼2', '红太狼')]|王智|无|无|无
无|[]|王有亮|无|无|无
王李丹妮|[('我想静静', '赵文姬'), ('夜闯寡妇村', '文珊珊'), ('摇滚水果', '香蕉'), ('态度', '微电影'), ('失恋33年', '楠楠'), ('谜失的游艇', '通花'), ('光的棍', '莫小墨'), ('一路向西', '小思'), ('大话蛇仙', '观音菩萨'), ('废柴兄弟', '王教授')]|王李丹妮|daniella wang|王李丹、丹妮公主、妮妮|无
王柏杰|[('少年派的奇幻漂流', 'sailor/水手'), ('我爱的是你爱我', '孙威'), ('一百分的吻', '王小杰'), ('赛车传奇', '吴嘉乐'), ('神奇侠侣', '百晓生'), ('百年情书', '林觉民'), ('建党伟业', '萧子升'), ('关云长', '汉献帝'), ('我们约会吧', '陆嘉森'), ('朱丽叶', '罗伟'), ('十月围城', '李重光'), ('阳阳', '客串'), ('丘比特女孩', '男孩'), ('九降风', '李曜行'), ('军中乐园', '菜鸟兵'), ('刷新3+7', '孙家骅'), ('生日愿望', '弟弟'), ('比赛开始', '傅德圣/拉拉 (成年)'), ('你是我的唯一', '吴启刚'), ('不能回家的小孩/少年之家', '阿国'), ('拳击手套布娃娃', '史书宇 (客串)'), ('卡奴的梦', '赵远雄'), ('国光异校', '坏学生')]|王柏杰|edison. bo-chieh wang|无|无
王柠|[('婚巢', '阳敏'), ('野鸭子', '杨兰'), ('户口', '赵金萍'), ('刀锋1937', '秦善宝'), ('篮球部落', '周玲'), ('完美', '夏冬雨'), ('无情的爱', '方立'), ('重庆小姐', '林爽'), ('京港爱情线', '邢佳妮'), ('撕开你的伤口', '莫可信'), ('追', '胡雪'), ('旱码头', '桂花'), ('男人四十', '陈锦'), ('黔东烽火', '冉翠玲'), ('笑过2012', '宋姐'), ('我是花下肥泥巴', '唐贵香'), ('李米的猜想', '艾菲菲'), ('爱·在路上', '继母'), ('开往春天的地铁', '丽川')]|王柠|无|无|无
王栎鑫|[('最好的我们', '路星河'), ('来自星星的继承者们', '杜易承、朴宇成'), ('一起又看流星雨', '鑫鑫'), ('娱乐没有圈', '鲍鑫鑫'), ('捉妖记', '小武'), ('少年班', '麦克'), ('半熟少女', '苏杰'), ('建党伟业', '李富春'), ('嘻游记', '大唐蹴鞠队员9号'), ('乐火男孩', '王小新')]|王栎鑫|yue、ahu、ka|糊糊|无
王毅|[]|王毅|无|无|无
王水林|[('最萌身高差', '夏汐泠'), ('四戒', '李晶晶')]|王水林|无|阿水|无
王永|[]|王永|无|无|无
王永光|[]|王永光|无|无|无
王泷正|[('白夜追凶', '周巡'), ('心理罪2', '邰伟'), ('画江湖之不良人', '上官云阙'), ('我的爱情撞上了战争', '靳语堂'), ('最后一战', '谌建功'), ('传奇酒馆', '陆子温'), ('心理罪', '邰伟'), ('秘密小分队', '小泽喜八郎'), ('燃烧', '三池信'), ('我爷爷和奶奶的故事', '铃木太郎'), ('枪火', '丰田一郎'), ('娘要嫁人', '赵云翔'), ('梁山伯与祝英台', '苏安'), ('御前四宝', '张英'), ('缉枪', '小马三叹'), ('死党', '李凯文'), ('醉青春', '连胜'), ('天马', '赌王'), ('下一站是家', '胡阳')]|王泷正|无|无|无
王洛勇|[('生死罗布泊', '郑健刚'), ('拼命三郎石秀', '石连山'), ('母大虫顾大嫂', '毛仲义'), ('腊月雪', '李晓安'), ('a面b面', '陈聪明'), ('浪淘真金', '赵振金'), ('saving face', 'dr. winstin liu'), ('微笑/smile', 'daniel'), ('伯爵夫人', 'drivers liu'), ('异次元战神', 'victor wang'), ('爱·面子/saving face', 'dr. winstin liu'), ('邓小平·1928', '曹无容'), ('莲娜的雨/lana’s rain', 'julian chen'), ('极速风暴/疯狂轮轮', 'sports announcer'), ('天浴', '叙述者'), ('dragon', 'yepman'), ('生命如歌', '阿健'), ('李小龙传', '叶问'), ('生命如歌', '阿健'), ('龙出生天/十万火急/daylight', 'jem man'), ('终极风暴', '周培'), ('黑帮大追杀', '周培'), ('龙：李小龙故事', '叶问'), ('猛龙/dragon', 'yepman'), ('返城年代', '知青办主任'), ('东北抗日联军', '杨靖宇'), ('洪武大案', '郑士元'), ('老渡口', '常序东'), ('连环套', '王昌平'), ('王稼祥', '王稼祥'), ('绝杀', '袁飞'), ('焦裕禄', '焦裕禄'), ('拯救女兵司徒慧', '武少卿'), ('天地民心', '穆彰阿'), ('杨贵妃秘史', '李白'), ('李小龙传奇', '邵如海'), ('英雄无名', '张学良'), ('爱在战火纷飞时', '陈副司令'), ('冰山上的来客', '杨排长'), ('活着真好', '陈历生'), ('中国维和警察', '冯力伟'), ('雄关遗梦', '徐光泰'), ('最后的子弹', '马一文'), ('神雕侠侣', '郭靖'), ('空房子', '刘永明'), ('林海雪原', '杨子荣'), ('生死卧底', '朱阳光'), ('走过旧金山', '丁明杨'), ('third watch/第三视点/城市守护者第三梯队', 'mr. li'), ('vanishing son 3/失踪的儿子3/手足传奇3', 'chou pei'), ('vanishing son 4/失踪的儿子4/手足传奇4', 'chou pei'), ('the street/华尔街', 'fengshui master')]|王洛勇|luoyong wang|无|无
王津|[]|王津|无|无|无
王洪祥|[]|王洪祥|wang hongxiang|百姓英雄、china王、中华英雄|无
