姓名|角色名称|中文名|英文名|别名|粉丝名
三浦春马|[('进击的巨人 attack on titan end of the world', '艾伦·耶格尔'), ('进击的巨人 attack on titan', '艾伦·耶格尔'), ('深夜前的五分钟', '阿良'), ('永远的0', '佐伯健太郎'), ('东京公园', '志田光司'), ('好想告诉你', '风早翔太'), ('热血高校2', '美籐龙也'), ('极道鲜师电影版', '风间廉'), ('消极的快乐，电锯的边缘', '能登'), ('奈绪子', '壱岐雄介'), ('恋空', '樱井弘树'), ('犯罪少年', '木原志朗'), ('秋叶原@deep', 'イズム'), ('那年夏天的第一次', '佐々木大洋\xa0'), ('森林学校', '(子役)河合雅雄'), ('千年之恋之源氏物语', '头中将'), ('金融腐蚀列岛', '北野浩'), ('尼罗河', '西山海'), ('女城主直虎', '井伊直亲（龟之丞）'), ('成人高校', '童贞精英'), ('别让我走', '土井友彦'), ('杀人偏差值70', '圭介'), ('我存在的时间', '泽田拓人'), ('最后的灰姑娘', '佐伯広斗'), ('东野圭吾推理系列', '冈良（第八回主角）'), ('世界奇妙物语2011秋季特别篇', '真田贤辅（猜拳篇）（sp）'), ('太阳再次升起', '宫田英二（配角）'), ('最后的晚餐', '（客串）'), ('你教会了我什么最重要', '柏木修二'), ('血色星期一2', '高木藤丸'), ('武士高校', '望月小太郎'), ('神探伽里略：第0章', '青年'), ('血色星期一', '高木藤丸'), ('极道鲜师3', '风间廉'), ('贫穷男子', '白石凉'), ('功名十字路', '湘南宗化'), ('14岁的妈妈', '桐野智志'), ('unfair', 'ユタカ'), ('现在，很想见你', '工藤明宏（初中时代的长跑健将）'), ('ファイト', '冈部圣也'), ('青空恋星', '石川启太'), ('はぐれ刑事纯情派', '松山利夫'), ('梦みる葡萄～本を読む女～', '田部末吉（少年时代）'), ('武藏musashi', '城太郎'), ('明智小五郎対怪人二十面相', '相川泰'), ('はぐれ刑事纯情派', '菊池充'), ('监察医 室生亜季子･30震える颜（监察医・室生亜季子）', '水谷光太'), ('藤沢周平の人情しぐれ町（第3･11话）', '长太'), ('真夏的圣诞节', '树下凉（少年时代）'), ('雨に眠れ（sp）', '中原圭太'), ('女探侦・朝冈彩子', '和久井一太郎'), ('十津川警部シリーズ（寝台急行银河杀人事件）', '新见慎一郎'), ('あぐり（亚久里）', '正太郎'), ('人间の十字架・飞騨高山、刑事の妻の秘密旅行が连続杀人を呼ぶ', '町野公一（子供时代）'), ('森村诚一 终着駅シリーズ 人间の十字架?飞騨高山（子供时代）', '町野公一（子供时代）')]|三浦春马|miura haruma|みうら はるま|无
丛珊|[('太平轮', '周母'), ('亲家过年', '刘文丽'), ('戒烟不戒酒', '客串'), ('赣江在这拐了一个弯', '安妈妈'), ('铁流1949', '冷杉'), ('寻找微尘', '微尘病友(客串)'), ('5颗子弹', '客串'), ('爱情左灯右行', '雨桐妈'), ('桃花运', '受骗女子'), ('两个人的房间', '林潇'), ('爱情呼叫转移', '周心蕊母亲'), ('背水一战', '背水一战'), ('戏说慈禧', '慈禧'), ('阿呆', '林太太'), ('恋爱季节', '左丽'), ('良家妇女', '余杏仙'), ('秋瑾', '秀蓉'), ('牧马人', '李秀芝'), ('陈云', '于若木'), ('聪明小空空', '小周后'), ('假如生活欺骗了你', '程母'), ('金沙', '王姬'), ('长白山下我的家', '尹明月'), ('摩登新人类', '凌莲'), ('军旗飘扬', '马部长妻子'), ('我的青春谁做主', '杨杉'), ('大秦直道', '玉娘(皇后)'), ('王昭君', '皇后王政君'), ('幸福来了你就喊', '郑兰'), ('大河颂', '太皇太后'), ('西部热土', '吴雪溶'), ('绝胜天良', '柳风影'), ('金陵子潮', '陈璧君'), ('英雄时代', '仲敏'), ('青春的童话', '杜小凡'), ('生活在别处', '舒平'), ('南国梦', '简芳'), ('无名的功勋', '郑小敏'), ('精武门', '绮翘'), ('包青天之公正廉明', '叶玉筝'), ('戏说慈禧', '慈禧太后'), ('徐悲鸿', '廖静雯')]|丛珊|无|无|无
东来东往|[]|戴恩泽|danny|东东|无
严屹宽|[('2017', '姬丹'), ('飞刀又见飞刀', '李寻欢'), ('战神之血染的青春', '庄子安'), ('幻城', '渊祭'), ('武神赵子龙', '刘备'), ('2016-02-17', '展昭'), ('新萧十一郎', '萧十一郎'), ('姐妹姐妹', '查扎猜'), ('海上丝路', '李隆基'), ('2016', '多尔衮'), ('神雕侠侣', '王重阳'), ('战神', '秦晋文'), ('约会专家', '谷易（客串）'), ('绞刑架下的春天', '杜枯荣'), ('龙门镖局', '上官靖宇（客串）'), ('血誓', '鏊子'), ('闺中密友', '李秋阳'), ('恋了爱了', '江昊天'), ('隋唐演义', '秦琼'), ('妈祖', '吴宗伦'), ('蓝蝶之谜', '卓立轩（客串）'), ('刑名师爷', '嘉靖帝'), ('铁血男儿夏明翰', '夏明翰'), ('身边的幸福', '杨青'), ('媳妇是怎样炼成的', '唐磊'), ('倾世皇妃', '孟祈佑'), ('大唐儒将开漳圣王', '陈元光'), ('宫锁心玉', '林非凡'), ('水浒传', '燕青'), ('生死迷局', '吴飞'), ('活佛济公', '圣德'), ('美人心计', '刘少康'), ('天师钟馗', '杜平'), ('阴丹士林', '郦照存'), ('烽火长城', '肖云飞'), ('乱世艳阳天', '仇政'), ('冷枪', '向剑锋'), ('大案组', '沙城'), ('犯罪启示录', '李大林'), ('最后的格格', '方天羽'), ('飞天舞', '刘璋玉（客串）'), ('大人物', '秦歌'), ('纯白之恋', '王明伟'), ('聊斋志异2之胭脂', '鄂子川'), ('情爱保险', '黄建远'), ('青天衙门', '玉环春'), ('春天后母心', '虎子'), ('生死绝恋', '陶进'), ('金色年华', '方国维'), ('六女当铺', '秦池'), ('风中战士', '严宽'), ('飞天潜龙', '柳玉树'), ('武当', '朱元璋'), ('秦王李世民', '李建成'), ('起跑天堂', '温承'), ('大明王朝1449', '朱祁镇'), ('追梦', '孙本立'), ('梦里花开', '林晖'), ('秋潮向晚天', '庄自立'), ('少年张三丰', '易继风'), ('一个人不如两个人', '王东'), ('奇人奇案', '叶玉树'), ('碧血情仇', '匡显能'), ('心网', '毕成功'), ('情牵日月星', '刘德华'), ('情书', '金鹏程'), ('生死语者·秦明', '秦明'), ('烽火芳菲', '村长'), ('三生三世十里桃花', '擎苍'), ('爵迹', '鬼山缝魂'), ('白发魔女传之明月天国', '皇太极'), ('怒放之青春再见', '张武（客串）'), ('三笑之才子佳人', '三才子之一（客串）'), ('陆小凤传奇之决战前后', '叶孤城'), ('瞬间的美丽', '杜鹏'), ('北京童话', '刘小峰')]|严屹宽|kevin yan|宽哥、宽宽|无
严禹豪|[('游泳先生', '蓝天'), ('泡沫之夏', '洛熙'), ('青春相贱不恨晚', '陈佐'), ('仲夏夜之梦', '王俊')]|严禹豪|jerry yan|大白牙、禹豪、豪豪|无
中泉英雄|[('生死血符', '松本'), ('假面骑士kabuto', '立川大吾'), ('何去何从', '石桥贤太郎'), ('不肯去观音', '慧萼'), ('止杀令', '阿苏卡'), ('老萨的战争', '月见山'), ('初到东京', '翔一'), ('假面骑士超级电王电影三部曲：红之章', '菊地宏'), ('南京！南京！', '角川正雄'), ('联合赤军实录：通向浅间山庄之路', '植垣康博'), ('如今的日本人啊！你们还相信爱、和平和理解吗？', '风间'), ('炬燵猫', 'velvet'), ('lovehotels', 'sou'), ('十分之九', '速水俊介'), ('谁是加缪', '池田哲哉'), ('新富江', '谷村卓也'), ('恶灵箱第一话噩梦栖息之林', '东一'), ('黑色东京', '小田'), ('pain', '敦')]|中泉英雄|nakaizumi hideo|无|无
中野良子|[]|中野良子|ryoko nakano|无|无
丹尼尔·亨利|[('超能陆战队', '泰迪（配音）'), ('特工k先生', 'ryan'), ('一夜惊喜', '周毕安'), ('背水一战', 'phil hayes'), ('爸爸', '音乐经纪人'), ('纽约客@上海', 'sam'), ('tattoo', 'the stranger'), ('金刚狼', 'david north'), ('我的父亲', 'james parker'), ('罗宾先生追求记', 'robin heiden'), ('我亲爱的朋友们', '马克史密斯'), ('逃亡者', 'kai'), ('天堂执法者', 'michael noshimuri'), ('three rivers', 'david'), ('春天华尔兹', '比利'), ('hello，弗朗西斯卡', 'guest appearance'), ('我叫金三顺', 'henry kim')]|丹尼尔·亨利|daniel phillip henney|无|无
丹尼斯·凯恩|[('男神时代', '林布斯'), ('小时代4', '周崇光（幼年）')]|丹尼斯·凯恩|kane dennis，케인 데니스|小d，dd，凯恩，小凯恩，暖男kane|无
丽贝卡·弗格森|[('白王后', 'elizabeth woodville')]|丽贝卡·弗格森|rebecca ferguson|丽贝卡·路易斯·弗格森|无
乌云娜|[]|乌云娜|wuyun na|无|无
无|[]|无|无|无|无
乌达木|[]|乌达木|无|木木，小九|无
乔·博恩瑟|[('猎凶风河谷', 'matt'), ('极盗车神', 'griff'), ('弗吉尼亚', 'sam'), ('pilgrimage', 'the mute'), ('一锤定音', "frank 'shotgun'"), ('会计刺客', '布莱克斯顿'), ('正义联盟大战少年泰坦', 'trigon'), ('我和厄尔以及将死的女孩', 'mr. mccarthy'), ('边境杀手', 'ted'), ('我们是你的朋友', 'paige'), ('狂怒', "grady 'coon-ass' travis"), ('告密者', 'daniel james'), ('华尔街之狼', 'brad'), ('旗鼓相当', 'b.j.'), ('堡垒', 'dan morone'), ('影子写手', 'rick ricardelli'), ('约会之夜', 'young man'), ('博物馆奇妙夜2', 'al capone'), ('a line in the sand', 'banzai'), ('酒吧明星', 'donnie pitron'), ('报到日', 'dixon'), ('我呼吸的空气', 'interviewer'), ('世贸中心', 'christopher amoroso'), ("tony n' tina's wedding", 'dominic'), ('revenge of the middle-aged woman', 'man in office'), ('2', 'manny'), ('超胆侠', 'frank castle/the punisher（第二季）'), ('黑色乌托邦', 'michael h. sussman'), ('超级豪宅', 'rat-a-pult（1-8,11,13）'), ('洛城黑帮', 'joe teague（第一季）'), ('律政俏师太', 'lucas trassino（2-21）'), ('太平洋战争', 'sgt. manuel rodriguez（1-1，2）'), ('行尸走肉', 'shane walsh（出演20集）'), ('数字追凶', 'mike nash（6-15）'), ('东镇女巫', 'raymond gardener（第一季）'), ('班级', 'duncan carmello（第一季）'), ('老爸老妈的浪漫史', 'carlos（1-2）'), ('jonny zero\xa0', 'brett parish（1-5）'), ('犯罪现场调查迈阿密', 'harry klugman（3-20，,22）'), ('法律与秩序：特殊受害者', 'sherm hempell（6-23）'), ('波士顿法律', 'michael shea（1-7）'), ('寻人密探组', 'alex genya（2-24）'), ('dr. vegas\xa0', 'greg（1-3）'), ('法律与秩序:犯罪倾向', 'lane ruddock（2-6）')]|乔·博恩瑟|jon bernthal|无|无
乔·阿尔文|[('宠儿', '马沙姆'), ('比利·林恩的中场战事', '比利·林恩')]|乔·阿尔文|joe alwyn|无|无
曾之乔|[('稍息立正我爱你', '未知'), ('后菜鸟的灿烂时代', '钟雨棠'), ('必娶女人', '郝胜男'), ('恋爱邻距离', '黎一弯'), ('好想谈恋爱', '黎一弯'), ('我的宝贝四千金', '黎一弯'), ('爱的创可贴', '唐少茵'), ('求爱365', '张碧婷'), ('爱上巧克力', '洪希恩'), ('老爸驾到', '陈丽君'), ('我可能不会爱你', '陈平安'), ('流氓校长', '江晴美'), ('爱情两好三坏', '苏晓雪'), ('恶女阿楚', '殷楚楚'), ('又见一帘幽梦', '刘雨珊'), ('太阳的女儿', '胡映月'), ('爱情魔发师', '贝若依'), ('大熊医师家', '乔乔'), ('仙剑奇侠传', '丁秀兰'), ('格斗天王', '田小葵'), ('紫禁之巅', '邱小影'), ('狐仙', '婴宁'), ('20 30 40', 'lily女儿')]|曾之乔|joanne|乔乔|无
